notation,description,smiles
D-angolosamine,D-angolosamine,C[C@@H]1OC(CC(N(C)C)[C@H]1O)O
D-fucofuranose,D-fucofuranose,C[C@H]([C@H]1O[C@H]([C@H](C1O)O)O)O
L-cladinose,L-cladinose,C[C@H]1[C@H](O)[C@](C)(OC)CC(O)O1
3-N-acetyl-D-ravidosamine,3-N-acetyl-D-ravidosamine,C[C@H]1O[C@@H]([C@@H]([C@@H](N(C(C)=O)C)[C@H]1OC(C)=O)O)O
3-N-acetyl-4-O-acetyl-D-ravidosamine,3-N-acetyl-4-O-acetyl-D-ravidosamine,C[C@H]1O[C@@H]([C@@H]([C@@H](N(C(C)=O)C)[C@H]1OC(C)=O)O)O
D-ravidosamine,D-ravidosamine,C[C@H]1O[C@@H]([C@@H]([C@@H](N(C)C)[C@H]1O)O)O
4-O-acetyl-D-ravidosamine,4-O-acetyl-D-ravidosamine,C[C@H]1O[C@@H]([C@@H]([C@@H](N(C)C)[C@H]1OC(C)=O)O)O
"3-N,N-dimethyl-D-mycosamine","3-N,N-dimethyl-D-mycosamine",C[C@H]1O[C@H]([C@@H]([C@@H](N(C)C)[C@@H]1O)O)O
D-mycosamine,D-mycosamine,C[C@H]1O[C@H]([C@H]([C@H]([C@@H]1O)N)O)O
3-O-carbamoyl-L-noviose,3-O-carbamoyl-L-noviose,CC1([C@@H]([C@H]([C@H](C(O1)O)O)OC(N)=O)O)C
L-noviose,L-noviose,CC1(C)[C@H](O)[C@@H](O)[C@@H](O)C(O)O1
3-O-carbamoyl-4-O-methyl-L-noviose,3-O-carbamoyl-4-O-methyl-L-noviose,CC1(C)[C@H](OC)[C@@H](OC(N)=O)[C@@H](O)C(O)O1
D-olivose,D-olivose,CC1O[C@@H](C[C@H]([C@@H]1O)O)O
L-cinerulose B,L-cinerulose B,CC1O[C@H]([C@@H](O)CC1=O)O
D-oliose,D-oliose,CC1O[C@H](C[C@H]([C@H]1O)O)O
4-deoxy-4-thio-D-digitoxose,4-deoxy-4-thio-D-digitoxose,CC1O[C@H](C[C@H](C1S)O)O
L-aculose,L-aculose,CC1O[C@H](C=CC1=O)O
L-rhodosamine,L-rhodosamine,CC1O[C@H](CC(N(C)C)[C@H]1O)O
L-cinerulose A,L-cinerulose A,CC1O[C@H](CCC1=O)O
D-fucose,D-fucose,CC1OC([C@@H]([C@H]([C@H]1O)O)O)O
"4,6-dideoxy-4-hydroxylamino-D-glucose","4,6-dideoxy-4-hydroxylamino-D-glucose",CC1OC(C(C(C1NO)O)O)O
Rednose,Rednose,CC1OC(C(N)=CC1=O)O
D-mycarose,D-mycarose,CC1OC(C[C@](O)([C@H]1O)C)O
"N,N-dimethyl-L-pyrrolosamine","N,N-dimethyl-L-pyrrolosamine",CC1OC(CC(C1N(C)C)O)O
L-ristosamine,L-ristosamine,CC1OC(CC(C1O)N)O
2-deoxy-L-fucose,2-deoxy-L-fucose,C[C@@H]([C@H]([C@H](CC=O)O)O)O
Chromose (4-O-acetyl-beta-D-oliose),Chromose (4-O-acetyl-beta-D-oliose),CC1OC(CC(C1OC(C)=O)O)O
4-O-carbamoyl-D-olivose,4-O-carbamoyl-D-olivose,CC1OC(CC(C1OC(N)=O)O)O
D-forosamine,D-forosamine,CC1OC(CC[C@@H]1N(C)C)O
"4-N-ethyl-4-amino-3-O-methoxy-2,4,5-trideoxypentose","4-N-ethyl-4-amino-3-O-methoxy-2,4,5-trideoxypentose",CCN[C@H]1CO[C@H](C[C@H]1OC)O
"4-N,N-dimethylamino-4-deoxy-5-C-methyl-l-rhamnose","4-N,N-dimethylamino-4-deoxy-5-C-methyl-l-rhamnose",CN(C1C(C(C(OC1(C)C)O)O)O)C
L-vicenisamine,L-vicenisamine,CN[C@@H]1C(CC(OC1C)O)O
2'-N-methyl-D-fucosamine,2'-N-methyl-D-fucosamine,CN[C@H]1C(O[C@@H]([C@@H]([C@@H]1O)O)C)O
D-3-N-methyl-4-O-methyl-L-ristosamine,D-3-N-methyl-4-O-methyl-L-ristosamine,CN[C@H]1CC(OC([C@@H]1OC)C)O
3-(5'-methyl-2'-pyrrolylcarbonyl-)4-O-methyl-L-noviose,3-(5'-methyl-2'-pyrrolylcarbonyl-)4-O-methyl-L-noviose,CO[C@@H]1[C@@H](C([C@@H](OC1(C)C)O)O)OC(C2=CC=C(N2)C)=O
"2,3,4-tri-O-methylrhamnose","2,3,4-tri-O-methylrhamnose",CO[C@@H]1[C@H](O[C@@H]([C@H]([C@H]1OC)OC)O)C
D-digitalose,D-digitalose,CO[C@H]1[C@H]([C@H](O[C@H]([C@@H]1O)O)C)O
"2,4-O-dimethyl-L-rhamnose","2,4-O-dimethyl-L-rhamnose",CO[C@H]1C(O[C@H](C(C1O)OC)O)C
"3,4-O-dimethyl-L-rhamnose","3,4-O-dimethyl-L-rhamnose",CO[C@H]1C(O[C@H](C(C1OC)O)O)C
L-oleandrose,L-oleandrose,CO[C@H]1C[C@H](O[C@H]([C@@H]1O)C)O
D-chalcose,D-chalcose,CO[C@H]1C[C@H](OC([C@@H]1O)O)C
4-O-methyl-L-rhodinose,4-O-methyl-L-rhodinose,CO[C@H]1CC[C@@H](O[C@H]1C)O
2-O-methyl-rhamnose,2-O-methyl-rhamnose,COC1[C@@H](OC([C@@H](C1O)O)C)O
"2,3-O-dimethyl-L-rhamnose","2,3-O-dimethyl-L-rhamnose",COC1[C@@H](OC([C@@H](C1OC)O)C)O
3-O-methyl-rhamnose,3-O-methyl-rhamnose,COC1[C@H]([C@H](OC([C@H]1O)O)C)O
Olivomose,Olivomose,COC1C(CC(OC1C)O)O
L-nogalose,L-nogalose,COC1C(OC(C(C1(OC)C)OC)O)C
L-actinosamine,L-actinosamine,COC1C(OC(CC1N)O)C
O-methyl-L-amicetose,O-methyl-L-amicetose,COC1CC[C@@H](O[C@H]1C)O
Madurose,Madurose,O[C@@H]1[C@H](O)[C@@](O)(C)[C@H](N)CO1
"4-N-methyl-4-amino-3-O-methoxy-2,4,5-trideoxypentose","4-N-methyl-4-amino-3-O-methoxy-2,4,5-trideoxypentose",O[C@@H]1C[C@H](OC)[C@@H](NC)CO1
Gulose,Gulose,O[C@H](C(O)O1)[C@@H](O)[C@H](O)[C@@H]1CO
N-acetylglucosamine,N-acetylglucosamine,O=C(C)N[C@@H]1[C@H]([C@@H]([C@@H](CO)OC1O)O)O
Mannose,Mannose,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO
Glucose,Glucose,OC[C@H]1OC([C@@H]([C@H]([C@@H]1O)O)O)O
2-thioglucose,2-thioglucose,OC1[C@H](S)[C@@H](O)[C@H](O)[C@@H](CO)O1
"3-N,N-dimethyl-L-eremosamine","3-N,N-dimethyl-L-eremosamine",OC1C[C@](C)(N(C)C)[C@@H](O)[C@H](C)O1
4-O-acetyl-L-arcanose,4-O-acetyl-L-arcanose,OC1C[C@@](C)(OC)[C@H](OC(C)=O)[C@H](C)O1
Kedarosamine,Kedarosamine,OC1O[C@@H](C)[C@@H](N(C)C)[C@@H](O)C1
Nogalamine,Nogalamine,OC1O[C@@H](C)[C@H](O)[C@@H](N(C)C)[C@@H]1O
L-vancosamine,L-vancosamine,OC1O[C@H]([C@@H](O)[C@](C1)(N)C)C
D-sipanose,D-sipanose,C[C@H]1OC(O)C[C@](O)(C)[C@@H]1N(C)C
6-deoxy-β-ribo-hexopyranose-ulose,6-deoxy-β-ribo-hexopyranose-ulose,CC(OC(O)C(C1=O)O)C1O
xylosamine,xylosamine,OC1COC(C(C1O)NC)O
N-demethylforosamine,N-demethylforosamine,CNC1CCC(OC1C)O
tetronitrose,tetronitrose,CC1([N+]([O-])=O)CC(O)OC(C)C1NC(OC)=O
lob-nitro-sugar,lob-nitro-sugar,COC(NC1C(C)OC(O)CC1(C)N)=O
4-O-methyl-L-noviose,4-O-methyl-L-noviose,CC1(C)[C@H](OC)[C@@H](O)[C@@H](O)C(O)O1
Garosamine,Garosamine,CC1(COC(C(C1NC)O)O)O
"5-(Aminomethyl)oxolane-2,3,4-triol","5-(Aminomethyl)oxolane-2,3,4-triol",OC1C(O)C(O)C(CN)O1
2-Amino-2-deoxypentopyranose,2-Amino-2-deoxypentopyranose,OC1OCC(O)C(O)C1N
4-Deoxygadusol,4-Deoxygadusol,O=C1C[C@](CO)(O)CC(O)=C1OC
Istamycin_moiety,Istamycin_inosamine_moiety,NCC1CCC(C(O1)O)N
3-N-acetyl-D-ravidosamine,3-N-acetyl-D-ravidosamine,C[C@H]1O[C@@H]([C@@H]([C@@H](N(C(C)=O)C)[C@H]1OC(C)=O)O)O
L-digitoxose,L-digitoxose,C[C@@H]([C@@H]([C@@H](CC=O)O)O)O
D-digitoxose,D-digitoxose,C[C@@H]1[C@@H](O)[C@@H](O)CC(O)O1
"4-amino-4,6-dideoxy-l-talose","4-amino-4,6-dideoxy-l-talose",O[C@@H]1O[C@@H](C)[C@@H](N)[C@@H](O)[C@H]1O
