notation,description,smiles,core_smiles,enum,pathways
S.1359.20,S.1359.20,*c1cc(C(=O)O)c2cccc(C)c2c1,Cc1cccc2c(C(=O)O)cccc12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.17,S.1359.17,*NC(CCC(O)C(*)CO)C(=O)O,NC(CCC(O)CCO)C(=O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.991.62,S.991.62,*N,N,"['Aminoglycoside', 'Antimetabolite', 'BetaLactam', 'Bisindole', 'Butyrolactone', 'Indole', 'Lincosamide', 'Melanin', 'NonRibosomalPeptide', 'Nucleoside', 'Phenazine', 'Phosphonate', 'Terpene', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1019', 'MA.1069', 'MA.1095', 'MA.1101', 'MA.1155', 'MA.1163', 'MA.1164', 'MA.1169', 'MA.1177', 'MA.1185', 'MA.1196', 'MA.1198', 'MA.1212', 'MA.1223', 'MA.1237', 'MA.1242', 'MA.1281', 'MA.1286', 'MA.1294', 'MA.1311', 'MA.1325', 'MA.1330', 'MA.1347', 'MA.1359', 'MA.1383', 'MA.1411', 'MA.1425', 'MA.1435', 'MA.1451', 'MA.1454', 'MA.1494', 'MA.1505', 'MA.1506', 'MA.1516', 'MA.1539', 'MA.1541', 'MA.1555', 'MA.1583', 'MA.1591', 'MA.1617', 'MA.1640', 'MA.1652', 'MA.1674', 'MA.1701', 'MA.1725', 'MA.1761', 'MA.1762', 'MA.1786', 'MA.1796', 'MA.1809', 'MA.1822', 'MA.1856', 'MA.1858', 'MA.1900', 'MA.1921', 'MA.1935', 'MA.1941', 'MA.1942', 'MA.1975', 'MA.1980', 'MA.526', 'MA.578', 'MA.582', 'MA.589', 'MA.596', 'MA.610', 'MA.638', 'MA.642', 'MA.659040', 'MA.659041', 'MA.659060', 'MA.659061', 'MA.659084', 'MA.659086', 'MA.659087', 'MA.659089', 'MA.659090', 'MA.659091_A', 'MA.659091_B', 'MA.659091_C', 'MA.659091_D', 'MA.659091_E', 'MA.659093', 'MA.659096', 'MA.659100', 'MA.659105', 'MA.659113', 'MA.659117', 'MA.659139', 'MA.659155', 'MA.664', 'MA.685', 'MA.698', 'MA.714', 'MA.730', 'MA.752', 'MA.797', 'MA.811', 'MA.828', 'MA.832', 'MA.838', 'MA.839', 'MA.860', 'MA.864', 'MA.904', 'MA.921', 'MA.925', 'MA.938', 'MA.944', 'MA.972', 'MA.991']"
S.992.8,S.992.8,*O,O,"['Alkaloid', 'Aminocoumarin', 'Aminoglycoside', 'Antimetabolite', 'BetaLactam', 'Bisindole', 'Butyrolactone', 'Cyclodipeptide', 'Glycolipid', 'Isonitrile', 'Lincosamide', 'Melanin', 'NRPS-IndependentSiderophore', 'NonRibosomalPeptide', 'Nucleoside', 'Phenazine', 'Phenyl', 'Phosphonate', 'Terpene', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1003', 'MA.1007', 'MA.1012', 'MA.1015', 'MA.1016', 'MA.1027', 'MA.1029', 'MA.1037', 'MA.1057', 'MA.1062', 'MA.1073', 'MA.1088', 'MA.1095', 'MA.1109', 'MA.1123', 'MA.1143', 'MA.1146', 'MA.1152', 'MA.1169', 'MA.1177', 'MA.1185', 'MA.1187', 'MA.1196', 'MA.1198', 'MA.1207', 'MA.1217', 'MA.1242', 'MA.1245', 'MA.1248', 'MA.1249', 'MA.1255', 'MA.1283', 'MA.1294', 'MA.1295', 'MA.1320', 'MA.1325', 'MA.1330', 'MA.1347', 'MA.1359', 'MA.1361', 'MA.1372', 'MA.1373', 'MA.1378', 'MA.1394', 'MA.1395', 'MA.1399', 'MA.1401', 'MA.1409', 'MA.1411', 'MA.1425', 'MA.1435', 'MA.1444', 'MA.1446', 'MA.1447', 'MA.1449', 'MA.1451', 'MA.1454', 'MA.1460', 'MA.1468', 'MA.1488', 'MA.1497', 'MA.1506', 'MA.1530', 'MA.1537', 'MA.1539', 'MA.1541', 'MA.1546', 'MA.1592', 'MA.1612', 'MA.1617', 'MA.1628', 'MA.1640', 'MA.1652', 'MA.1672', 'MA.1688', 'MA.1689', 'MA.1699', 'MA.1701', 'MA.1718', 'MA.1725', 'MA.1729', 'MA.1761', 'MA.1762', 'MA.1774', 'MA.1775', 'MA.1776', 'MA.1807', 'MA.1809', 'MA.1831', 'MA.1850', 'MA.1851', 'MA.1871', 'MA.1873', 'MA.1874', 'MA.1879', 'MA.1899', 'MA.1900', 'MA.1916', 'MA.1918', 'MA.1921', 'MA.1923', 'MA.1924', 'MA.1928', 'MA.1930', 'MA.1931', 'MA.1941', 'MA.1945', 'MA.1980', 'MA.24898', 'MA.526', 'MA.531', 'MA.561', 'MA.567', 'MA.576', 'MA.592', 'MA.607', 'MA.610', 'MA.613', 'MA.619', 'MA.623', 'MA.624', 'MA.626', 'MA.632', 'MA.634', 'MA.638', 'MA.639', 'MA.659033', 'MA.659035', 'MA.659036', 'MA.659040', 'MA.659041', 'MA.659044_A', 'MA.659044_B', 'MA.659044_D', 'MA.659044_G', 'MA.659044_H', 'MA.659046', 'MA.659053', 'MA.659060', 'MA.659061', 'MA.659081', 'MA.659082', 'MA.659084', 'MA.659086', 'MA.659087', 'MA.659089', 'MA.659090', 'MA.659092', 'MA.659093', 'MA.659095', 'MA.659096', 'MA.659097', 'MA.659100', 'MA.659102_A', 'MA.659102_B', 'MA.659102_C', 'MA.659103', 'MA.659105', 'MA.659106', 'MA.659108', 'MA.659113', 'MA.659116', 'MA.659117', 'MA.659118', 'MA.659119', 'MA.659137', 'MA.659138', 'MA.659139', 'MA.659141', 'MA.659142', 'MA.659143', 'MA.659145', 'MA.659146', 'MA.659147', 'MA.659148_B', 'MA.659148_E', 'MA.659148_H', 'MA.659148_I', 'MA.659151_A', 'MA.659151_B', 'MA.659154_A', 'MA.659154_B', 'MA.659156_A', 'MA.659156_B', 'MA.659156_C', 'MA.659156_D', 'MA.659156_E', 'MA.659156_F', 'MA.659156_G', 'MA.659156_H', 'MA.659170', 'MA.661', 'MA.662', 'MA.666', 'MA.673', 'MA.678', 'MA.687', 'MA.698', 'MA.714', 'MA.716', 'MA.718', 'MA.752', 'MA.790', 'MA.792', 'MA.794', 'MA.797', 'MA.800', 'MA.802', 'MA.810', 'MA.827', 'MA.828', 'MA.832', 'MA.836', 'MA.839', 'MA.860', 'MA.864', 'MA.890', 'MA.900', 'MA.904', 'MA.915', 'MA.918', 'MA.921', 'MA.923', 'MA.926', 'MA.931', 'MA.933', 'MA.938', 'MA.943', 'MA.962', 'MA.964', 'MA.972', 'MA.979', 'MA.991', 'MA.992']"
S.1359.22,S.1359.22,*NC(CCC(=O)C(*)CO)C(=O)O,NC(CCC(=O)CCO)C(=O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.63,S.1359.25,*Oc1cc(C(=O)O)c2cccc(C)c2c1,Cc1cccc2c(C(=O)O)cc(O)cc12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.63,S.1359.63,*OC(=O)c1cc(O*)cc2c(C)cccc12,Cc1cccc2c(C(=O)O)cc(O)cc12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.992.15,S.992.15,*C,C,"['Alkaloid', 'Aminocoumarin', 'Aminoglycoside', 'Antimetabolite', 'BetaLactam', 'Bisindole', 'Butyrolactone', 'Cyclodipeptide', 'Indole', 'Isonitrile', 'Lincosamide', 'Melanin', 'NonRibosomalPeptide', 'Nucleoside', 'Phenazine', 'Phosphonate', 'Terpene', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1007', 'MA.1010', 'MA.1019', 'MA.1027', 'MA.1037', 'MA.1069', 'MA.1073', 'MA.1095', 'MA.1109', 'MA.1114', 'MA.1123', 'MA.1146', 'MA.1152', 'MA.1155', 'MA.1163', 'MA.1177', 'MA.1185', 'MA.1187', 'MA.1198', 'MA.1212', 'MA.1237', 'MA.1242', 'MA.1245', 'MA.1259', 'MA.1281', 'MA.1283', 'MA.1286', 'MA.1294', 'MA.1295', 'MA.1320', 'MA.1321', 'MA.1325', 'MA.1330', 'MA.1347', 'MA.1359', 'MA.1372', 'MA.1373', 'MA.1378', 'MA.1411', 'MA.1435', 'MA.1446', 'MA.1447', 'MA.1448', 'MA.1449', 'MA.1451', 'MA.1468', 'MA.1475', 'MA.1476', 'MA.1488', 'MA.1494', 'MA.1506', 'MA.1516', 'MA.1524', 'MA.1537', 'MA.1539', 'MA.1541', 'MA.1546', 'MA.1583', 'MA.1591', 'MA.1617', 'MA.1621', 'MA.1628', 'MA.1640', 'MA.1646', 'MA.1688', 'MA.1689', 'MA.1701', 'MA.1722', 'MA.1725', 'MA.1729', 'MA.1761', 'MA.1762', 'MA.1776', 'MA.1796', 'MA.1807', 'MA.1809', 'MA.1826', 'MA.1850', 'MA.1852', 'MA.1859', 'MA.1865', 'MA.1871', 'MA.1874', 'MA.1879', 'MA.1886', 'MA.1916', 'MA.1924', 'MA.1928', 'MA.1930', 'MA.1941', 'MA.1945', 'MA.1972', 'MA.1980', 'MA.24898', 'MA.526', 'MA.567', 'MA.576', 'MA.596', 'MA.607', 'MA.610', 'MA.613', 'MA.624', 'MA.634', 'MA.638', 'MA.639', 'MA.659033', 'MA.659034', 'MA.659035', 'MA.659036', 'MA.659040', 'MA.659048', 'MA.659053', 'MA.659060', 'MA.659061', 'MA.659081', 'MA.659084', 'MA.659087', 'MA.659089', 'MA.659090', 'MA.659091_A', 'MA.659091_B', 'MA.659091_C', 'MA.659091_D', 'MA.659091_E', 'MA.659093', 'MA.659095', 'MA.659100', 'MA.659102_A', 'MA.659102_B', 'MA.659102_C', 'MA.659108', 'MA.659117', 'MA.659123', 'MA.659138', 'MA.659139', 'MA.659141', 'MA.659142', 'MA.659143', 'MA.659144', 'MA.659145', 'MA.659146', 'MA.659147', 'MA.659148_A', 'MA.659148_B', 'MA.659148_E', 'MA.659148_H', 'MA.659148_I', 'MA.659151_A', 'MA.659151_B', 'MA.659154_A', 'MA.659156_C', 'MA.659156_D', 'MA.659156_E', 'MA.659156_F', 'MA.659156_G', 'MA.659156_H', 'MA.659170', 'MA.659191', 'MA.662', 'MA.664', 'MA.666', 'MA.670', 'MA.678', 'MA.698', 'MA.700', 'MA.714', 'MA.752', 'MA.792', 'MA.797', 'MA.800', 'MA.810', 'MA.814', 'MA.828', 'MA.834', 'MA.836', 'MA.838', 'MA.839', 'MA.860', 'MA.861', 'MA.866', 'MA.900', 'MA.904', 'MA.915', 'MA.918', 'MA.938', 'MA.943', 'MA.944', 'MA.959', 'MA.962', 'MA.964', 'MA.972', 'MA.979', 'MA.991', 'MA.992']"
S.1359.27,S.1359.27,*NC(C(=O)O)C1CC(O)C(CO)N1,NC(C(=O)O)C1CC(O)C(CO)N1,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.860.39,S.860.39,CC(C)C(N)C(=O)O,CC(C)C(N)C(=O)O,"['Antimetabolite', 'BetaLactam', 'NonRibosomalPeptide', 'Phosphonate', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1223', 'MA.1234', 'MA.1359', 'MA.1923', 'MA.624', 'MA.659092', 'MA.659118', 'MA.687', 'MA.806', 'MA.811', 'MA.860']"
S.860.39,S.806.4,*NC(C(=O)O)C(C)C,CC(C)C(N)C(=O)O,['BetaLactam'],"['MA.1923', 'MA.806']"
S.860.39,S.806.7,*N(*)C(C(=O)O)C(*)(C)C,CC(C)C(N)C(=O)O,['BetaLactam'],"['MA.1923', 'MA.806']"
S.860.39,S.624.9,*NC(*)(C(=O)O)C(C)C,CC(C)C(N)C(=O)O,['BetaLactam'],['MA.624']
S.860.39,S.624.13,*N(*)C(*)(C(=O)O)C(*)(C)C,CC(C)C(N)C(=O)O,['BetaLactam'],['MA.624']
S.1359.44,S.1359.44,*NC(c1c(O)c(O)c2n1C2)C(*)O,NC(CO)c1c(O)c(O)c2n1C2,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.44,S.1359.37,*C(O)C(N)c1c(O)c(O)c2n1C2,NC(CO)c1c(O)c(O)c2n1C2,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.33,S.1359.33,CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.34,S.1359.34,*Oc1cc(C(*)=O)c2cccc(C)c2c1,Cc1cccc2c(C=O)cc(O)cc12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.991.47,S.991.47,*S,S,"['Alkaloid', 'Aminocoumarin', 'BetaLactam', 'Butyrolactone', 'Cyclodipeptide', 'Indole', 'Lincosamide', 'NonRibosomalPeptide', 'Nucleoside', 'Phenazine', 'Phosphonate', 'Terpene', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1003', 'MA.1062', 'MA.1095', 'MA.1109', 'MA.1163', 'MA.1169', 'MA.1177', 'MA.1198', 'MA.1234', 'MA.1242', 'MA.1245', 'MA.1286', 'MA.1295', 'MA.1309', 'MA.1325', 'MA.1330', 'MA.1347', 'MA.1359', 'MA.1394', 'MA.1401', 'MA.1447', 'MA.1494', 'MA.1546', 'MA.1612', 'MA.1776', 'MA.1858', 'MA.1859', 'MA.1871', 'MA.1873', 'MA.1879', 'MA.1916', 'MA.1921', 'MA.1924', 'MA.1930', 'MA.1931', 'MA.576', 'MA.592', 'MA.610', 'MA.626', 'MA.634', 'MA.659036', 'MA.659046', 'MA.659048', 'MA.659053', 'MA.659060', 'MA.659061', 'MA.659081', 'MA.659082', 'MA.659084', 'MA.659086', 'MA.659087', 'MA.659089', 'MA.659090', 'MA.659091_A', 'MA.659091_B', 'MA.659091_C', 'MA.659091_D', 'MA.659091_E', 'MA.659092', 'MA.659093', 'MA.659095', 'MA.659096', 'MA.659097', 'MA.659100', 'MA.659102_A', 'MA.659102_B', 'MA.659102_C', 'MA.659118', 'MA.659119', 'MA.659123', 'MA.659142', 'MA.659143', 'MA.659151_A', 'MA.659151_B', 'MA.659191', 'MA.790', 'MA.794', 'MA.797', 'MA.800', 'MA.814', 'MA.828', 'MA.836', 'MA.839', 'MA.860', 'MA.861', 'MA.863', 'MA.918', 'MA.926', 'MA.931', 'MA.991']"
S.1359.47,S.1359.47,*Oc1cc(C(=O)OC(C(*)=O)C(C)C)c2cccc(C)c2c1,Cc1cccc2c(C(=O)OC(C=O)C(C)C)cc(O)cc12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.864.28,S.864.16,CC(=O)C(N)C(O)O,CC(=O)C(N)C(O)O,"['BetaLactam', 'NonRibosomalPeptide', 'TypeIPolyketide']","['MA.1359', 'MA.864']"
S.864.28,S.864.28,*NC(C(C)=O)C(O)O,CC(=O)C(N)C(O)O,['BetaLactam'],['MA.864']
S.1359.66,S.1359.55,*NC(C(*)=O)c1c(O)c(O)c2n1C2,NC(C=O)c1c(O)c(O)c2n1C2,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.66,S.1359.66,*NC(C(*)=O)c1c(O*)c(O)c2n1C2,NC(C=O)c1c(O)c(O)c2n1C2,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.61,S.1359.50,*NC(C(*)O)C(C)O,CC(O)C(N)CO,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.61,S.1359.61,*NC(CO)C(C)O,CC(O)C(N)CO,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.65,S.1359.65,*C(=O)C(*)C1(C)CO1,CC1(CC=O)CO1,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.67,S.1359.67,*NC(CO)C(C)=O,CC(=O)C(N)CO,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.860.1,S.860.1,C=C(OP(=O)(O)O)C(=O)O,C=C(OP(=O)(O)O)C(=O)O,"['Phenazine', 'Phosphonate']","['MA.1196', 'MA.1242', 'MA.1448', 'MA.1451', 'MA.659117', 'MA.860']"
S.1448.2,S.1448.2,O=C(O)C(=O)CP(=O)([O-])[O-],O=C(O)C(=O)CP(=O)([O-])[O-],['Phosphonate'],['MA.1448']
S.1448.3,S.1448.3,O=CCP(=O)([O-])[O-],O=CCP(=O)([O-])[O-],['Phosphonate'],['MA.1448']
S.1448.5,S.1448.4,O=P([O-])([O-])CCO,O=P([O-])([O-])CCO,['Phosphonate'],['MA.1448']
S.1448.5,S.1448.5,*C(O)CP(=O)([O-])[O-],O=P([O-])([O-])CCO,['Phosphonate'],['MA.1448']
S.1448.7,S.1448.7,*C1OC1P(=O)([O-])[O-],O=P([O-])([O-])C1CO1,['Phosphonate'],['MA.1448']
S.923.2,S.923.2,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)S,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)S,['TypeIIPolyketide'],"['MA.1016', 'MA.1471', 'MA.1506', 'MA.659150_B', 'MA.802', 'MA.923']"
S.659150_B.2,S.659150_B.2,CC(=O)CC(=O)CC(=O)C1C(=O)CC(O)CC1(O)CC(=O)CC(=O)S,CC(=O)CC(=O)CC(=O)C1C(=O)CC(O)CC1(O)CC(=O)CC(=O)S,['TypeIIPolyketide'],['MA.659150_B']
S.659150_B.3,S.659150_B.3,CC(=O)CC(=O)CC(=O)c1c(O)cccc1CC(=O)CC(=O)S,CC(=O)CC(=O)CC(=O)c1c(O)cccc1CC(=O)CC(=O)S,['TypeIIPolyketide'],['MA.659150_B']
S.659150_B.4,S.659150_B.4,CC(=O)CC(=O)C1C(=O)c2c(O)cccc2CC1(O)CC(=O)S,CC(=O)CC(=O)C1C(=O)c2c(O)cccc2CC1(O)CC(=O)S,['TypeIIPolyketide'],['MA.659150_B']
S.659150_B.5,S.659150_B.5,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,['TypeIIPolyketide'],['MA.659150_B']
S.1471.2,S.1471.2,CC(=O)C1C(=O)c2c(O)cccc2CC1(O)CC(=O)CC(=O)O,CC(=O)C1C(=O)c2c(O)cccc2CC1(O)CC(=O)CC(=O)O,['TypeIIPolyketide'],['MA.1471']
S.1471.3,S.1471.3,CC(=O)CC(=O)c1c(O)cccc1CC(=O)CC(=O)CC(=O)O,CC(=O)CC(=O)c1c(O)cccc1CC(=O)CC(=O)CC(=O)O,['TypeIIPolyketide'],['MA.1471']
S.1471.4,S.1471.4,CC(=O)CC1C(=O)C(=O)c2c(O)cccc2C1=O,CC(=O)CC1C(=O)C(=O)c2c(O)cccc2C1=O,['TypeIIPolyketide'],['MA.1471']
S.1471.5,S.1471.5,CC(=O)C1C(=O)Cc2cccc(O)c2C1(O)C(=O)O,CC(=O)C1C(=O)Cc2cccc(O)c2C1(O)C(=O)O,['TypeIIPolyketide'],['MA.1471']
S.1471.6,S.1471.6,CC(=O)C1=C2C(=C(C(C)=O)C(O)(C(=O)O)c3c(O)cccc32)c2c1c(O)c(O)c1c(O)cccc21,CC(=O)C1=C2C(=C(C(C)=O)C(O)(C(=O)O)c3c(O)cccc32)c2c1c(O)c(O)c1c(O)cccc21,['TypeIIPolyketide'],['MA.1471']
S.800.2,S.800.2,NC(Cc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)O,"['Alkaloid', 'Cyclodipeptide', 'NonRibosomalPeptide', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1062', 'MA.1171', 'MA.1320', 'MA.1395', 'MA.1497', 'MA.1546', 'MA.659034', 'MA.659036', 'MA.659151_A', 'MA.659151_B', 'MA.800']"
S.800.2,S.659118.60,*NC(Cc1ccccc1)C(=O)O*,NC(Cc1ccccc1)C(=O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.659118']
S.800.2,S.659036.35,*C(c1ccccc1)C(N)C(=O)O,NC(Cc1ccccc1)C(=O)O,['Alkaloid'],['MA.659036']
S.800.2,S.659036.55,*OC(=O)C(N)C(*)c1ccccc1,NC(Cc1ccccc1)C(=O)O,['Alkaloid'],['MA.659036']
S.1395.2,S.1395.2,C/C=C/C=C/CCCC(C)C(=O)c1c(O)[nH]cc(-c2ccccc2)c1=O,C/C=C/C=C/CCCC(C)C(=O)c1c(O)[nH]cc(-c2ccccc2)c1=O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1395']
S.1395.3,S.1395.3,CC=CC=CCCCC(C)C(=O)c1c(O)[nH]cc(-c2ccccc2)c1=O,CC=CC=CCCCC(C)C(=O)c1c(O)[nH]cc(-c2ccccc2)c1=O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1395']
S.1395.4,S.1395.4,CC=CC=CCCCC(C)C(O)c1c(O)[nH]cc(-c2ccccc2)c1=O,CC=CC=CCCCC(C)C(O)c1c(O)[nH]cc(-c2ccccc2)c1=O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1395']
S.1395.5,S.1395.5,CC=CC=CCCCC(C)=Cc1c(O)[nH]cc(-c2ccccc2)c1=O,CC=CC=CCCCC(C)=Cc1c(O)[nH]cc(-c2ccccc2)c1=O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1395']
S.1395.7,S.1395.6,CC=CC1Oc2c(-c3ccccc3)c[nH]c(=O)c2C2C(C)CCCC12,CC=CC1Oc2c(-c3ccccc3)c[nH]c(=O)c2C2C(C)CCCC12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1395']
S.1395.7,S.1395.7,*n1cc(-c2ccccc2)c2c(c1=O)C1C(C)CCCC1C(C=CC)O2,CC=CC1Oc2c(-c3ccccc3)c[nH]c(=O)c2C2C(C)CCCC12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1395']
S.991.1,S.991.1,NC(Cc1c[nH]c2ccccc12)C(=O)O,NC(Cc1c[nH]c2ccccc12)C(=O)O,"['Alkaloid', 'Antimetabolite', 'Bisindole', 'Cyclodipeptide', 'Indole', 'Isonitrile', 'Lincosamide', 'NonRibosomalPeptide', 'Terpene', 'TypeIPolyketide']","['MA.1010', 'MA.1029', 'MA.1088', 'MA.1146', 'MA.1177', 'MA.1235', 'MA.1286', 'MA.1361', 'MA.1373', 'MA.1524', 'MA.1537', 'MA.1646', 'MA.1761', 'MA.1837', 'MA.1852', 'MA.1865', 'MA.1873', 'MA.1886', 'MA.1918', 'MA.1945', 'MA.567', 'MA.592', 'MA.607', 'MA.632', 'MA.659035', 'MA.659040', 'MA.659041', 'MA.659138', 'MA.670', 'MA.681', 'MA.863', 'MA.943', 'MA.944', 'MA.991']"
S.991.1,S.659040.2,*c1cccc2c(CC(N)C(=O)O)c[nH]c12,NC(Cc1c[nH]c2ccccc12)C(=O)O,['Bisindole'],"['MA.1646', 'MA.1852', 'MA.659040']"
S.991.1,S.1865.2,*C(c1c[nH]c2ccccc12)C(N)C(=O)O,NC(Cc1c[nH]c2ccccc12)C(=O)O,['Antimetabolite'],['MA.1865']
