mibig_id,cluster_id,orf_id,family_id
BGC0001332,2968784389_1_42086,2968784389_12272_14071,174
BGC0001332,2968784389_1_42086,2968784389_14125_14913,195
BGC0001332,2968784389_1_42086,2968784389_15042_15872,195
BGC0001332,2968784389_1_42086,2968784389_16131_16328,241
BGC0001332,2968784389_1_42086,2968784389_29500_29892,134
BGC0001332,2968784389_1_42086,2968784389_30290_31633,475
BGC0000002,2391258425_2033_136261,2391258425_2033_3250,277
BGC0000002,2391258425_2033_136261,2391258425_106997_108208,-1
BGC0000002,2391258425_2033_136261,2391258425_108201_109436,277
BGC0000002,2391258425_2033_136261,2391258425_109433_110647,277
BGC0000002,2391258425_2033_136261,2391258425_110671_111537,387
BGC0000002,2391258425_2033_136261,2391258425_111660_113456,401
BGC0000002,2391258425_2033_136261,2391258425_113559_114149,147
BGC0000002,2391258425_2033_136261,2391258425_114442_115662,277
BGC0000002,2391258425_2033_136261,2391258425_115949_117166,277
BGC0000002,2391258425_2033_136261,2391258425_117159_117959,431
BGC0000002,2391258425_2033_136261,2391258425_118079_119689,297
BGC0000002,2391258425_2033_136261,2391258425_119976_121211,546
BGC0000002,2391258425_2033_136261,2391258425_121208_122458,277
BGC0000002,2391258425_2033_136261,2391258425_122544_123653,-1
BGC0000002,2391258425_2033_136261,2391258425_123731_124978,313
BGC0000002,2391258425_2033_136261,2391258425_125289_126755,463
BGC0000002,2391258425_2033_136261,2391258425_126853_127458,435
BGC0000002,2391258425_2033_136261,2391258425_127585_128784,277
BGC0000002,2391258425_2033_136261,2391258425_128813_129787,236
BGC0000002,2391258425_2033_136261,2391258425_129853_130593,337
BGC0000002,2391258425_2033_136261,2391258425_132162_133364,15
BGC0000002,2391258425_2033_136261,2391258425_133478_136261,174
BGC0001335,1766340197_3019_13601,1766340197_3019_4284,469
BGC0001335,1766340197_3019_13601,1766340197_4355_7645,108
BGC0001335,1766340197_3019_13601,1766340197_7660_9102,99
BGC0001335,1766340197_3019_13601,1766340197_9378_9902,101
BGC0001335,1766340197_3019_13601,1766340197_9899_10675,-1
BGC0001335,1766340197_3019_13601,1766340197_10636_11214,323
BGC0001335,1766340197_3019_13601,1766340197_11239_12828,226
BGC0001335,1766340197_3019_13601,1766340197_12855_13601,-1
BGC0001334,1788312858_1_16479,1788312858_1_1542,226
BGC0001334,1788312858_1_16479,1788312858_1567_2835,-1
BGC0001334,1788312858_1_16479,1788312858_2832_3365,323
BGC0001334,1788312858_1_16479,1788312858_3539_4375,-1
BGC0001334,1788312858_1_16479,1788312858_4717_6276,99
BGC0001334,1788312858_1_16479,1788312858_6318_8003,526
BGC0001334,1788312858_1_16479,1788312858_8000_9262,469
BGC0001334,1788312858_1_16479,1788312858_9243_10904,164
BGC0001334,1788312858_1_16479,1788312858_11214_11945,-1
BGC0001334,1788312858_1_16479,1788312858_11942_15214,108
BGC0001334,1788312858_1_16479,1788312858_15214_16479,198
BGC0000006,4162709142_27877_32427,4162709142_27877_32427,58
BGC0000004,1841254780_29211_39707,1841254780_29211_33761,58
BGC0000004,1841254780_29211_39707,1841254780_34887_39707,97
BGC0000010,541582443_19146_23696,541582443_19146_23696,58
BGC0000009,3222528901_25148_36672,3222528901_25148_29689,58
BGC0000009,3222528901_25148_36672,3222528901_30822_35561,97
BGC0000009,3222528901_25148_36672,3222528901_35561_36199,97
BGC0000009,3222528901_25148_36672,3222528901_36358_36672,58
BGC0000007,2250158783_30632_35182,2250158783_30632_35182,58
BGC0000011,2666626118_35173_39555,2666626118_35173_39555,58
BGC0001341,1451460956_1_20767,1451460956_1_633,-1
BGC0001341,1451460956_1_20767,1451460956_968_1774,163
BGC0001341,1451460956_1_20767,1451460956_1771_2643,256
BGC0001846,4216489295_14446_33485,4216489295_32817_33485,-1
BGC0000453,2191562016_18880_37802,2191562016_18880_19548,101
BGC0000894,2623149157_41714_42451,2623149157_41714_42451,273
BGC0001455,3802814516_580_25487,3802814516_580_1971,453
BGC0001455,3802814516_580_25487,3802814516_15124_16353,437
BGC0001455,3802814516_580_25487,3802814516_16481_16675,153
BGC0001455,3802814516_580_25487,3802814516_18266_18526,-1
BGC0001455,3802814516_580_25487,3802814516_18765_19985,44
BGC0001455,3802814516_580_25487,3802814516_19982_20293,56
BGC0001455,3802814516_580_25487,3802814516_20274_21134,-1
BGC0001455,3802814516_580_25487,3802814516_21131_21643,-1
BGC0001455,3802814516_580_25487,3802814516_21652_22839,137
BGC0001455,3802814516_580_25487,3802814516_22918_23709,215
BGC0001455,3802814516_580_25487,3802814516_23801_24649,357
BGC0001455,3802814516_580_25487,3802814516_24639_25487,537
BGC0001340,3400156843_26371_34624,3400156843_26371_26649,293
BGC0001340,3400156843_26371_34624,3400156843_26639_26905,-1
BGC0001340,3400156843_26371_34624,3400156843_26922_27254,293
BGC0001340,3400156843_26371_34624,3400156843_27299_27853,58
BGC0001340,3400156843_26371_34624,3400156843_27902_28624,285
BGC0001340,3400156843_26371_34624,3400156843_28608_33407,285
BGC0001340,3400156843_26371_34624,3400156843_33585_33809,141
BGC0001340,3400156843_26371_34624,3400156843_33806_34624,-1
BGC0001339,997217406_15080_27732,997217406_23904_24320,24
BGC0001339,997217406_15080_27732,997217406_24346_25116,-1
BGC0001339,997217406_15080_27732,997217406_25936_26457,32
BGC0001339,997217406_15080_27732,997217406_26842_27732,284
BGC0001346,294734367_2_33552,294734367_2_1066,229
BGC0001346,294734367_2_33552,294734367_30443_31591,0
BGC0001346,294734367_2_33552,294734367_31588_33552,477
BGC0001345,3980548903_4457_18347,3980548903_6166_7101,121
BGC0001345,3980548903_4457_18347,3980548903_11634_13013,334
BGC0001345,3980548903_4457_18347,3980548903_13010_15619,149
BGC0001345,3980548903_4457_18347,3980548903_15650_16894,173
BGC0001345,3980548903_4457_18347,3980548903_17124_18347,153
BGC0002324,2066897486_2093_9058,2066897486_3760_4671,121
BGC0002491,944771535_1_11277,944771535_1673_2557,121
BGC0002491,944771535_1_11277,944771535_6882_7703,173
BGC0002491,944771535_1_11277,944771535_7704_8477,421
BGC0002491,944771535_1_11277,944771535_8492_9745,531
BGC0002491,944771535_1_11277,944771535_9745_11277,231
BGC0002492,4084934999_813_11677,4084934999_813_2087,532
BGC0002492,4084934999_813_11677,4084934999_2126_3352,153
BGC0002492,4084934999_813_11677,4084934999_3369_4667,334
BGC0002492,4084934999_813_11677,4084934999_9119_10018,121
BGC0001343,1338316451_2377_17429,1338316451_2377_3927,33
BGC0001343,1338316451_2377_17429,1338316451_4078_5097,172
BGC0001343,1338316451_2377_17429,1338316451_5156_5881,256
BGC0001343,1338316451_2377_17429,1338316451_5891_7324,154
BGC0001343,1338316451_2377_17429,1338316451_7345_8070,153
BGC0001343,1338316451_2377_17429,1338316451_8101_9381,154
BGC0001343,1338316451_2377_17429,1338316451_9378_10268,154
BGC0001343,1338316451_2377_17429,1338316451_10694_11317,202
BGC0001343,1338316451_2377_17429,1338316451_11507_12487,111
BGC0001343,1338316451_2377_17429,1338316451_12568_12822,288
BGC0001343,1338316451_2377_17429,1338316451_12819_14039,97
BGC0001343,1338316451_2377_17429,1338316451_14047_15276,97
BGC0001343,1338316451_2377_17429,1338316451_15273_16766,33
BGC0001343,1338316451_2377_17429,1338316451_16755_17429,237
BGC0002591,2893199311_10371_14516,2893199311_10371_11927,33
BGC0002591,2893199311_10371_14516,2893199311_11924_13210,97
BGC0002591,2893199311_10371_14516,2893199311_13299_14516,97
BGC0001344,1822384012_7076_47469,1822384012_7076_7897,8
BGC0001344,1822384012_7076_47469,1822384012_8016_9317,-1
BGC0001344,1822384012_7076_47469,1822384012_9336_9995,123
BGC0001344,1822384012_7076_47469,1822384012_9983_11086,310
BGC0001344,1822384012_7076_47469,1822384012_11143_12327,211
BGC0000152,2418175433_25290_29861,2418175433_25290_29861,58
BGC0000014,1530909175_14581_81832,1530909175_62644_63963,541
BGC0000014,1530909175_14581_81832,1530909175_71750_73171,491
BGC0000014,1530909175_14581_81832,1530909175_73296_73643,-1
BGC0000014,1530909175_14581_81832,1530909175_73690_74760,172
BGC0000014,1530909175_14581_81832,1530909175_74763_75890,172
BGC0000014,1530909175_14581_81832,1530909175_75965_77515,461
BGC0000014,1530909175_14581_81832,1530909175_77731_79227,52
BGC0000014,1530909175_14581_81832,1530909175_79314_80654,-1
BGC0000014,1530909175_14581_81832,1530909175_80753_81832,428
BGC0001350,2043235051_1778_90418,2043235051_1778_3031,508
BGC0001350,2043235051_1778_90418,2043235051_3038_3295,110
BGC0001350,2043235051_1778_90418,2043235051_3572_4519,5
BGC0001350,2043235051_1778_90418,2043235051_4811_5665,176
BGC0001350,2043235051_1778_90418,2043235051_78538_80442,101
BGC0001350,2043235051_1778_90418,2043235051_80895_82574,85
BGC0001350,2043235051_1778_90418,2043235051_82675_83022,47
BGC0001350,2043235051_1778_90418,2043235051_83064_83777,234
BGC0001350,2043235051_1778_90418,2043235051_83826_85286,213
BGC0001350,2043235051_1778_90418,2043235051_85300_86067,455
BGC0001350,2043235051_1778_90418,2043235051_86055_86822,455
BGC0001350,2043235051_1778_90418,2043235051_86822_88144,370
BGC0001350,2043235051_1778_90418,2043235051_89345_90418,-1
BGC0001349,2451527648_3771_84595,2451527648_5886_6449,371
BGC0001349,2451527648_3771_84595,2451527648_19157_20098,191
BGC0001349,2451527648_3771_84595,2451527648_20113_20349,-1
BGC0001349,2451527648_3771_84595,2451527648_21965_22627,8
BGC0001349,2451527648_3771_84595,2451527648_22663_24225,200
BGC0001349,2451527648_3771_84595,2451527648_24299_25546,-1
BGC0001349,2451527648_3771_84595,2451527648_35777_36712,85
BGC0001349,2451527648_3771_84595,2451527648_58528_61344,174
BGC0001349,2451527648_3771_84595,2451527648_61968_64952,174
BGC0001349,2451527648_3771_84595,2451527648_82665_83105,-1
BGC0001349,2451527648_3771_84595,2451527648_83402_84595,196
BGC0000097,1611467334_7177_89152,1611467334_29667_30758,8
BGC0000097,1611467334_7177_89152,1611467334_32874_33437,371
BGC0000097,1611467334_7177_89152,1611467334_45898_46839,191
BGC0000097,1611467334_7177_89152,1611467334_46855_47091,-1
BGC0000097,1611467334_7177_89152,1611467334_48706_49302,8
BGC0000097,1611467334_7177_89152,1611467334_49403_50974,200
BGC0000097,1611467334_7177_89152,1611467334_51086_52321,398
BGC0000097,1611467334_7177_89152,1611467334_62476_63411,85
BGC0000097,1611467334_7177_89152,1611467334_85138_85404,521
BGC0000097,1611467334_7177_89152,1611467334_85808_86578,195
BGC0000097,1611467334_7177_89152,1611467334_86721_87437,191
BGC0000097,1611467334_7177_89152,1611467334_87539_89152,-1
BGC0002101,2965443621_5059_84186,2965443621_27509_28600,8
BGC0002101,2965443621_5059_84186,2965443621_30716_31279,371
BGC0002101,2965443621_5059_84186,2965443621_43738_44679,191
BGC0002101,2965443621_5059_84186,2965443621_44696_44932,-1
BGC0002101,2965443621_5059_84186,2965443621_46547_47146,8
BGC0002101,2965443621_5059_84186,2965443621_47247_48818,200
BGC0002101,2965443621_5059_84186,2965443621_48938_50173,398
BGC0002101,2965443621_5059_84186,2965443621_60336_61271,85
BGC0002101,2965443621_5059_84186,2965443621_82826_83092,521
BGC0002101,2965443621_5059_84186,2965443621_83416_84186,195
BGC0001348,1018743605_319_70800,1018743605_60159_61043,152
BGC0001348,1018743605_319_70800,1018743605_61117_61419,-1
BGC0001348,1018743605_319_70800,1018743605_61412_62647,127
BGC0001348,1018743605_319_70800,1018743605_62644_63828,6
BGC0001348,1018743605_319_70800,1018743605_63928_64590,394
BGC0001348,1018743605_319_70800,1018743605_64667_66592,-1
BGC0001348,1018743605_319_70800,1018743605_67056_67805,195
BGC0001348,1018743605_319_70800,1018743605_67984_68403,337
BGC0001348,1018743605_319_70800,1018743605_68744_69703,191
BGC0000013,2398370453_1_5532,2398370453_1_1416,166
BGC0000013,2398370453_1_5532,2398370453_1449_3521,166
BGC0000013,2398370453_1_5532,2398370453_3534_3902,-1
BGC0000013,2398370453_1_5532,2398370453_3924_4319,166
BGC0000013,2398370453_1_5532,2398370453_4357_5532,166
BGC0001284,2875086879_1_5292,2875086879_1_5292,166
BGC0000021,3401836439_1_115746,3401836439_1_1446,237
BGC0000021,3401836439_1_115746,3401836439_1453_2460,-1
BGC0000021,3401836439_1_115746,3401836439_2821_4095,313
BGC0000021,3401836439_1_115746,3401836439_4189_5124,431
BGC0000021,3401836439_1_115746,3401836439_5159_6376,15
BGC0000021,3401836439_1_115746,3401836439_7401_8819,463
BGC0000021,3401836439_1_115746,3401836439_9344_10513,313
BGC0000021,3401836439_1_115746,3401836439_10768_12027,-1
BGC0000021,3401836439_1_115746,3401836439_12075_12671,-1
BGC0000021,3401836439_1_115746,3401836439_12689_13021,186
BGC0000021,3401836439_1_115746,3401836439_13035_14063,428
BGC0000021,3401836439_1_115746,3401836439_14442_15200,195
BGC0000021,3401836439_1_115746,3401836439_15416_18496,174
BGC0000021,3401836439_1_115746,3401836439_18667_19452,449
BGC0000021,3401836439_1_115746,3401836439_19482_20141,394
BGC0000021,3401836439_1_115746,3401836439_20381_21463,6
BGC0000021,3401836439_1_115746,3401836439_21460_22584,127
BGC0000021,3401836439_1_115746,3401836439_22577_22870,339
BGC0000021,3401836439_1_115746,3401836439_22867_23733,152
BGC0000021,3401836439_1_115746,3401836439_28684_29628,230
BGC0000021,3401836439_1_115746,3401836439_30165_32282,-1
BGC0000021,3401836439_1_115746,3401836439_32781_33794,340
BGC0000021,3401836439_1_115746,3401836439_35620_36162,-1
BGC0000021,3401836439_1_115746,3401836439_36375_37568,398
BGC0000021,3401836439_1_115746,3401836439_43843_44973,-1
BGC0000021,3401836439_1_115746,3401836439_110720_111472,362
BGC0000021,3401836439_1_115746,3401836439_112058_112417,230
BGC0000021,3401836439_1_115746,3401836439_112448_112843,75
BGC0000021,3401836439_1_115746,3401836439_112897_115746,174
BGC0000018,1193120758_244_42960,1193120758_42340_42960,101
BGC0001361,2622209323_1_1116,2622209323_1_1116,406
BGC0002283,2788343080_1_1155,2788343080_1_1155,406
BGC0001351,3933370077_1410_29083,3933370077_1410_2363,424
BGC0001351,3933370077_1410_29083,3933370077_2808_3824,-1
BGC0001351,3933370077_1410_29083,3933370077_22984_23202,190
BGC0001351,3933370077_1410_29083,3933370077_23206_23694,148
BGC0001351,3933370077_1410_29083,3933370077_23736_24548,126
BGC0001351,3933370077_1410_29083,3933370077_24576_25865,303
BGC0001351,3933370077_1410_29083,3933370077_25874_27208,50
BGC0001358,2790808344_20959_30909,2790808344_22763_23119,209
BGC0001358,2790808344_20959_30909,2790808344_23151_24023,293
BGC0001358,2790808344_20959_30909,2790808344_27823_28065,24
BGC0001358,2790808344_20959_30909,2790808344_30268_30909,379
BGC0001369,4110970262_1343_17796,4110970262_1343_2242,26
BGC0001369,4110970262_1343_17796,4110970262_2185_2430,39
BGC0001369,4110970262_1343_17796,4110970262_2417_3763,-1
BGC0001369,4110970262_1343_17796,4110970262_3760_5145,79
BGC0001369,4110970262_1343_17796,4110970262_5142_6515,12
BGC0001369,4110970262_1343_17796,4110970262_6512_7024,384
BGC0001369,4110970262_1343_17796,4110970262_7202_7630,403
BGC0001369,4110970262_1343_17796,4110970262_9323_9610,-1
BGC0001369,4110970262_1343_17796,4110970262_9607_10116,26
BGC0001369,4110970262_1343_17796,4110970262_10113_11048,246
BGC0001369,4110970262_1343_17796,4110970262_13662_13991,-1
BGC0001369,4110970262_1343_17796,4110970262_14164_14907,300
BGC0001369,4110970262_1343_17796,4110970262_14923_15993,142
BGC0001369,4110970262_1343_17796,4110970262_15990_16373,430
BGC0001369,4110970262_1343_17796,4110970262_16384_17796,352
BGC0001366,3851080185_681_15268,3851080185_681_2492,274
BGC0001366,3851080185_681_15268,3851080185_2568_3191,-1
BGC0001366,3851080185_681_15268,3851080185_3374_4846,284
BGC0001366,3851080185_681_15268,3851080185_5011_5694,157
BGC0001366,3851080185_681_15268,3851080185_5743_6168,498
BGC0001366,3851080185_681_15268,3851080185_6165_7430,97
BGC0001366,3851080185_681_15268,3851080185_7427_8707,97
BGC0001366,3851080185_681_15268,3851080185_8725_8982,288
BGC0001366,3851080185_681_15268,3851080185_8991_9494,266
BGC0001366,3851080185_681_15268,3851080185_9541_9882,250
BGC0001366,3851080185_681_15268,3851080185_9901_11211,-1
BGC0001366,3851080185_681_15268,3851080185_11019_11489,154
BGC0001366,3851080185_681_15268,3851080185_11554_12585,349
BGC0001366,3851080185_681_15268,3851080185_12582_14057,116
BGC0001366,3851080185_681_15268,3851080185_14222_15268,168
BGC0001512,1334586600_1850_16915,1334586600_1850_3325,284
BGC0001512,1334586600_1850_16915,1334586600_3476_4183,250
BGC0001512,1334586600_1850_16915,1334586600_4180_4581,498
BGC0001512,1334586600_1850_16915,1334586600_4578_5843,97
BGC0001512,1334586600_1850_16915,1334586600_5840_7093,97
BGC0001512,1334586600_1850_16915,1334586600_7130_7369,-1
BGC0001512,1334586600_1850_16915,1334586600_7366_7857,266
BGC0001512,1334586600_1850_16915,1334586600_7854_8195,250
BGC0001512,1334586600_1850_16915,1334586600_8238_9515,515
BGC0001512,1334586600_1850_16915,1334586600_9515_10855,153
BGC0001512,1334586600_1850_16915,1334586600_10839_11537,305
BGC0001512,1334586600_1850_16915,1334586600_11612_12646,349
BGC0001512,1334586600_1850_16915,1334586600_12789_13517,397
BGC0001512,1334586600_1850_16915,1334586600_13588_15171,243
BGC0001512,1334586600_1850_16915,1334586600_15252_15824,8
BGC0001512,1334586600_1850_16915,1334586600_16166_16915,-1
BGC0000031,511952166_5961_54466,511952166_5961_6467,55
BGC0000031,511952166_5961_54466,511952166_6564_7538,-1
BGC0000031,511952166_5961_54466,511952166_7603_8397,195
BGC0000031,511952166_5961_54466,511952166_9993_11165,168
BGC0000031,511952166_5961_54466,511952166_11162_11980,-1
BGC0000031,511952166_5961_54466,511952166_11992_13611,-1
BGC0000031,511952166_5961_54466,511952166_13608_15635,53
BGC0000031,511952166_5961_54466,511952166_50829_52019,487
BGC0000031,511952166_5961_54466,511952166_52113_53477,279
BGC0000031,511952166_5961_54466,511952166_53486_54466,113
BGC0001533,1386957440_5951_54462,1386957440_5951_6457,55
BGC0001533,1386957440_5951_54462,1386957440_6554_7528,74
BGC0001533,1386957440_5951_54462,1386957440_7593_8387,195
BGC0001533,1386957440_5951_54462,1386957440_9983_11155,168
BGC0001533,1386957440_5951_54462,1386957440_11152_11970,383
BGC0001533,1386957440_5951_54462,1386957440_11982_13601,-1
BGC0001533,1386957440_5951_54462,1386957440_13598_15625,53
BGC0001533,1386957440_5951_54462,1386957440_50825_52015,487
BGC0001533,1386957440_5951_54462,1386957440_52109_53473,279
BGC0001533,1386957440_5951_54462,1386957440_53482_54462,113
BGC0001370,331198606_4330_67612,331198606_4330_4545,230
BGC0001370,331198606_4330_67612,331198606_4676_5842,237
BGC0001370,331198606_4330_67612,331198606_6073_6504,173
BGC0001370,331198606_4330_67612,331198606_6577_7434,259
BGC0001370,331198606_4330_67612,331198606_7515_7970,-1
BGC0001370,331198606_4330_67612,331198606_8152_8949,230
BGC0001370,331198606_4330_67612,331198606_8956_9909,-1
BGC0001370,331198606_4330_67612,331198606_10046_11761,193
BGC0001370,331198606_4330_67612,331198606_11780_12448,-1
BGC0001370,331198606_4330_67612,331198606_12463_13788,25
BGC0001370,331198606_4330_67612,331198606_13785_14984,78
BGC0001370,331198606_4330_67612,331198606_14981_16054,84
BGC0001370,331198606_4330_67612,331198606_56371_57189,217
BGC0001370,331198606_4330_67612,331198606_57201_58094,151
BGC0001370,331198606_4330_67612,331198606_58162_60012,-1
BGC0001370,331198606_4330_67612,331198606_60052_61053,543
BGC0001370,331198606_4330_67612,331198606_61236_62039,340
BGC0001370,331198606_4330_67612,331198606_62093_63310,491
BGC0001370,331198606_4330_67612,331198606_63341_64327,505
BGC0001370,331198606_4330_67612,331198606_64324_66051,70
BGC0001370,331198606_4330_67612,331198606_67367_67612,-1
BGC0001374,888661289_3758_5575,888661289_3758_5575,324
BGC0000033,1315140251_67788_90348,1315140251_67788_68981,277
BGC0000033,1315140251_67788_90348,1315140251_69032_70024,340
BGC0000033,1315140251_67788_90348,1315140251_70221_71351,218
BGC0000033,1315140251_67788_90348,1315140251_71386_72522,378
BGC0000033,1315140251_67788_90348,1315140251_72591_73799,462
BGC0000033,1315140251_67788_90348,1315140251_73840_75102,-1
BGC0000033,1315140251_67788_90348,1315140251_75152_76186,464
BGC0000033,1315140251_67788_90348,1315140251_80077_81147,201
BGC0000033,1315140251_67788_90348,1315140251_81152_82102,37
BGC0000033,1315140251_67788_90348,1315140251_82105_82371,93
BGC0000033,1315140251_67788_90348,1315140251_82456_83886,404
BGC0000033,1315140251_67788_90348,1315140251_83883_85229,524
BGC0000033,1315140251_67788_90348,1315140251_85300_85872,-1
BGC0000033,1315140251_67788_90348,1315140251_86118_86669,153
BGC0000033,1315140251_67788_90348,1315140251_86678_87271,153
BGC0000033,1315140251_67788_90348,1315140251_87351_88853,11
BGC0000033,1315140251_67788_90348,1315140251_89143_90348,277
BGC0001357,1066731356_1_26932,1066731356_1946_2257,301
BGC0001357,1066731356_1_26932,1066731356_2507_3922,157
BGC0001357,1066731356_1_26932,1066731356_8318_9559,517
BGC0001357,1066731356_1_26932,1066731356_9564_10823,370
BGC0001357,1066731356_1_26932,1066731356_10814_11590,455
BGC0001357,1066731356_1_26932,1066731356_17904_19025,76
BGC0001357,1066731356_1_26932,1066731356_19038_19637,291
BGC0001357,1066731356_1_26932,1066731356_20012_22075,185
BGC0001357,1066731356_1_26932,1066731356_22374_24119,436
BGC0001357,1066731356_1_26932,1066731356_25424_26932,137
BGC0001386,2801717763_1056_21956,2801717763_1056_1313,-1
BGC0001386,2801717763_1056_21956,2801717763_1509_2633,194
BGC0001386,2801717763_1056_21956,2801717763_2630_3391,403
BGC0001386,2801717763_1056_21956,2801717763_3714_4478,274
BGC0001386,2801717763_1056_21956,2801717763_4643_5227,328
BGC0001386,2801717763_1056_21956,2801717763_5369_6328,-1
BGC0001386,2801717763_1056_21956,2801717763_6424_7509,297
BGC0001386,2801717763_1056_21956,2801717763_7745_9313,248
BGC0001386,2801717763_1056_21956,2801717763_9515_10378,239
BGC0001386,2801717763_1056_21956,2801717763_10375_11172,225
BGC0001386,2801717763_1056_21956,2801717763_11159_11557,23
BGC0001386,2801717763_1056_21956,2801717763_11680_12993,145
BGC0001386,2801717763_1056_21956,2801717763_13270_14538,97
BGC0001386,2801717763_1056_21956,2801717763_14535_15782,97
BGC0001386,2801717763_1056_21956,2801717763_15775_16305,323
BGC0001386,2801717763_1056_21956,2801717763_16340_18256,172
BGC0001386,2801717763_1056_21956,2801717763_18342_19493,248
BGC0001386,2801717763_1056_21956,2801717763_19514_20590,322
BGC0001386,2801717763_1056_21956,2801717763_20587_21012,299
BGC0001386,2801717763_1056_21956,2801717763_21009_21956,328
BGC0001387,3042606503_151_29437,3042606503_151_1149,539
BGC0001387,3042606503_151_29437,3042606503_1152_2582,153
BGC0001387,3042606503_151_29437,3042606503_2579_3406,101
BGC0001387,3042606503_151_29437,3042606503_3410_4048,375
BGC0001387,3042606503_151_29437,3042606503_4408_7578,174
BGC0001387,3042606503_151_29437,3042606503_8598_9986,153
BGC0001387,3042606503_151_29437,3042606503_10254_10676,59
BGC0001387,3042606503_151_29437,3042606503_10774_12201,-1
BGC0001387,3042606503_151_29437,3042606503_12203_13201,214
BGC0001387,3042606503_151_29437,3042606503_13365_14534,366
BGC0001387,3042606503_151_29437,3042606503_14653_15699,230
BGC0001387,3042606503_151_29437,3042606503_15733_17415,11
BGC0001387,3042606503_151_29437,3042606503_17412_18491,53
BGC0001387,3042606503_151_29437,3042606503_18754_19521,283
BGC0001387,3042606503_151_29437,3042606503_19531_20007,8
BGC0001387,3042606503_151_29437,3042606503_20000_21985,177
BGC0001387,3042606503_151_29437,3042606503_21982_23364,155
BGC0001387,3042606503_151_29437,3042606503_23376_23960,210
BGC0001387,3042606503_151_29437,3042606503_24029_24646,343
BGC0001387,3042606503_151_29437,3042606503_24839_25660,210
BGC0001387,3042606503_151_29437,3042606503_25730_28453,-1
BGC0001387,3042606503_151_29437,3042606503_28520_29437,280
BGC0001393,4268089353_5584_28869,4268089353_12698_13072,102
BGC0001393,4268089353_5584_28869,4268089353_25745_26431,-1
