mibig_id,cluster_id,orf_id
BGC0000007,2250158783_30632_35182,2250158783_30632_35182
BGC0000011,2666626118_35173_39555,2666626118_35173_39555
BGC0001341,1451460956_1_20767,1451460956_1_633
BGC0001341,1451460956_1_20767,1451460956_968_1774
BGC0001341,1451460956_1_20767,1451460956_1771_2643
BGC0001846,4216489295_14446_33485,4216489295_32817_33485
BGC0000453,2191562016_18880_37802,2191562016_18880_19548
BGC0000894,2623149157_41714_42451,2623149157_41714_42451
BGC0001455,3802814516_580_25487,3802814516_580_1971
BGC0001455,3802814516_580_25487,3802814516_15124_16353
BGC0001455,3802814516_580_25487,3802814516_16481_16675
BGC0001455,3802814516_580_25487,3802814516_18266_18526
BGC0001455,3802814516_580_25487,3802814516_18765_19985
BGC0001455,3802814516_580_25487,3802814516_19982_20293
BGC0001455,3802814516_580_25487,3802814516_20274_21134
BGC0001455,3802814516_580_25487,3802814516_21131_21643
BGC0001455,3802814516_580_25487,3802814516_21652_22839
BGC0001455,3802814516_580_25487,3802814516_22918_23709
BGC0001455,3802814516_580_25487,3802814516_23801_24649
BGC0001455,3802814516_580_25487,3802814516_24639_25487
BGC0001340,3400156843_26371_34624,3400156843_26371_26649
BGC0001340,3400156843_26371_34624,3400156843_26639_26905
BGC0001340,3400156843_26371_34624,3400156843_26922_27254
BGC0001340,3400156843_26371_34624,3400156843_27299_27853
BGC0001340,3400156843_26371_34624,3400156843_27902_28624
BGC0001340,3400156843_26371_34624,3400156843_28608_33407
BGC0001340,3400156843_26371_34624,3400156843_33585_33809
BGC0001340,3400156843_26371_34624,3400156843_33806_34624
BGC0001339,997217406_15080_27732,997217406_23904_24320
BGC0001339,997217406_15080_27732,997217406_24346_25116
BGC0001339,997217406_15080_27732,997217406_25936_26457
BGC0001339,997217406_15080_27732,997217406_26842_27732
BGC0001346,294734367_2_33552,294734367_2_1066
BGC0001346,294734367_2_33552,294734367_30443_31591
BGC0001346,294734367_2_33552,294734367_31588_33552
BGC0001345,3980548903_4457_18347,3980548903_6166_7101
BGC0001345,3980548903_4457_18347,3980548903_11634_13013
BGC0001345,3980548903_4457_18347,3980548903_13010_15619
BGC0001345,3980548903_4457_18347,3980548903_15650_16894
BGC0001345,3980548903_4457_18347,3980548903_17124_18347
BGC0002324,2066897486_2093_9058,2066897486_3760_4671
BGC0002491,944771535_1_11277,944771535_1673_2557
BGC0002491,944771535_1_11277,944771535_6882_7703
BGC0002491,944771535_1_11277,944771535_7704_8477
BGC0002491,944771535_1_11277,944771535_8492_9745
BGC0002491,944771535_1_11277,944771535_9745_11277
BGC0002492,4084934999_813_11677,4084934999_813_2087
BGC0002492,4084934999_813_11677,4084934999_2126_3352
BGC0002492,4084934999_813_11677,4084934999_3369_4667
BGC0002492,4084934999_813_11677,4084934999_9119_10018
BGC0001343,1338316451_2377_17429,1338316451_2377_3927
BGC0001343,1338316451_2377_17429,1338316451_4078_5097
BGC0001343,1338316451_2377_17429,1338316451_5156_5881
BGC0001343,1338316451_2377_17429,1338316451_5891_7324
BGC0001343,1338316451_2377_17429,1338316451_7345_8070
BGC0001343,1338316451_2377_17429,1338316451_8101_9381
BGC0001343,1338316451_2377_17429,1338316451_9378_10268
BGC0001343,1338316451_2377_17429,1338316451_10694_11317
BGC0001343,1338316451_2377_17429,1338316451_11507_12487
BGC0001343,1338316451_2377_17429,1338316451_12568_12822
BGC0001343,1338316451_2377_17429,1338316451_12819_14039
BGC0001343,1338316451_2377_17429,1338316451_14047_15276
BGC0001343,1338316451_2377_17429,1338316451_15273_16766
BGC0001343,1338316451_2377_17429,1338316451_16755_17429
BGC0002591,2893199311_10371_14516,2893199311_10371_11927
BGC0002591,2893199311_10371_14516,2893199311_11924_13210
BGC0002591,2893199311_10371_14516,2893199311_13299_14516
BGC0001344,1822384012_7076_47469,1822384012_7076_7897
BGC0001344,1822384012_7076_47469,1822384012_8016_9317
BGC0001344,1822384012_7076_47469,1822384012_9336_9995
BGC0001344,1822384012_7076_47469,1822384012_9983_11086
BGC0001344,1822384012_7076_47469,1822384012_11143_12327
BGC0000152,2418175433_25290_29861,2418175433_25290_29861
BGC0000014,1530909175_14581_81832,1530909175_62644_63963
BGC0000014,1530909175_14581_81832,1530909175_71750_73171
BGC0000014,1530909175_14581_81832,1530909175_73296_73643
BGC0000014,1530909175_14581_81832,1530909175_73690_74760
BGC0000014,1530909175_14581_81832,1530909175_74763_75890
BGC0000014,1530909175_14581_81832,1530909175_75965_77515
BGC0000014,1530909175_14581_81832,1530909175_77731_79227
BGC0000014,1530909175_14581_81832,1530909175_79314_80654
BGC0000014,1530909175_14581_81832,1530909175_80753_81832
BGC0001350,2043235051_1778_90418,2043235051_1778_3031
BGC0001350,2043235051_1778_90418,2043235051_3038_3295
BGC0001350,2043235051_1778_90418,2043235051_3572_4519
BGC0001350,2043235051_1778_90418,2043235051_4811_5665
BGC0001350,2043235051_1778_90418,2043235051_78538_80442
BGC0001350,2043235051_1778_90418,2043235051_80895_82574
BGC0001350,2043235051_1778_90418,2043235051_82675_83022
BGC0001350,2043235051_1778_90418,2043235051_83064_83777
BGC0001350,2043235051_1778_90418,2043235051_83826_85286
BGC0001350,2043235051_1778_90418,2043235051_85300_86067
BGC0001350,2043235051_1778_90418,2043235051_86055_86822
BGC0001350,2043235051_1778_90418,2043235051_86822_88144
BGC0001350,2043235051_1778_90418,2043235051_89345_90418
BGC0001349,2451527648_3771_84595,2451527648_5886_6449
BGC0001349,2451527648_3771_84595,2451527648_19157_20098
BGC0001349,2451527648_3771_84595,2451527648_20113_20349
BGC0001349,2451527648_3771_84595,2451527648_21965_22627
BGC0001349,2451527648_3771_84595,2451527648_22663_24225
BGC0001349,2451527648_3771_84595,2451527648_24299_25546
BGC0001349,2451527648_3771_84595,2451527648_35777_36712
BGC0001349,2451527648_3771_84595,2451527648_58528_61344
BGC0001349,2451527648_3771_84595,2451527648_61968_64952
BGC0001349,2451527648_3771_84595,2451527648_82665_83105
BGC0001349,2451527648_3771_84595,2451527648_83402_84595
BGC0000097,1611467334_7177_89152,1611467334_29667_30758
BGC0000097,1611467334_7177_89152,1611467334_32874_33437
BGC0000097,1611467334_7177_89152,1611467334_45898_46839
BGC0000097,1611467334_7177_89152,1611467334_46855_47091
BGC0000097,1611467334_7177_89152,1611467334_48706_49302
BGC0000097,1611467334_7177_89152,1611467334_49403_50974
BGC0000097,1611467334_7177_89152,1611467334_51086_52321
BGC0000097,1611467334_7177_89152,1611467334_62476_63411
BGC0000097,1611467334_7177_89152,1611467334_85138_85404
BGC0000097,1611467334_7177_89152,1611467334_85808_86578
BGC0000097,1611467334_7177_89152,1611467334_86721_87437
BGC0000097,1611467334_7177_89152,1611467334_87539_89152
BGC0002101,2965443621_5059_84186,2965443621_27509_28600
BGC0002101,2965443621_5059_84186,2965443621_30716_31279
BGC0002101,2965443621_5059_84186,2965443621_43738_44679
BGC0002101,2965443621_5059_84186,2965443621_44696_44932
BGC0002101,2965443621_5059_84186,2965443621_46547_47146
BGC0002101,2965443621_5059_84186,2965443621_47247_48818
BGC0002101,2965443621_5059_84186,2965443621_48938_50173
BGC0002101,2965443621_5059_84186,2965443621_60336_61271
BGC0002101,2965443621_5059_84186,2965443621_82826_83092
BGC0002101,2965443621_5059_84186,2965443621_83416_84186
BGC0001348,1018743605_319_70800,1018743605_60159_61043
BGC0001348,1018743605_319_70800,1018743605_61117_61419
BGC0001348,1018743605_319_70800,1018743605_61412_62647
BGC0001348,1018743605_319_70800,1018743605_62644_63828
BGC0001348,1018743605_319_70800,1018743605_63928_64590
BGC0001348,1018743605_319_70800,1018743605_64667_66592
BGC0001348,1018743605_319_70800,1018743605_67056_67805
BGC0001348,1018743605_319_70800,1018743605_67984_68403
BGC0001348,1018743605_319_70800,1018743605_68744_69703
BGC0000013,2398370453_1_5532,2398370453_1_1416
BGC0000013,2398370453_1_5532,2398370453_1449_3521
BGC0000013,2398370453_1_5532,2398370453_3534_3902
BGC0000013,2398370453_1_5532,2398370453_3924_4319
BGC0000013,2398370453_1_5532,2398370453_4357_5532
BGC0001284,2875086879_1_5292,2875086879_1_5292
BGC0000021,3401836439_1_115746,3401836439_1_1446
BGC0000021,3401836439_1_115746,3401836439_1453_2460
BGC0000021,3401836439_1_115746,3401836439_2821_4095
BGC0000021,3401836439_1_115746,3401836439_4189_5124
BGC0000021,3401836439_1_115746,3401836439_5159_6376
BGC0000021,3401836439_1_115746,3401836439_7401_8819
BGC0000021,3401836439_1_115746,3401836439_9344_10513
BGC0000021,3401836439_1_115746,3401836439_10768_12027
BGC0000021,3401836439_1_115746,3401836439_12075_12671
BGC0000021,3401836439_1_115746,3401836439_12689_13021
BGC0000021,3401836439_1_115746,3401836439_13035_14063
BGC0000021,3401836439_1_115746,3401836439_14442_15200
BGC0000021,3401836439_1_115746,3401836439_15416_18496
BGC0000021,3401836439_1_115746,3401836439_18667_19452
BGC0000021,3401836439_1_115746,3401836439_19482_20141
BGC0000021,3401836439_1_115746,3401836439_20381_21463
BGC0000021,3401836439_1_115746,3401836439_21460_22584
BGC0000021,3401836439_1_115746,3401836439_22577_22870
BGC0000021,3401836439_1_115746,3401836439_22867_23733
BGC0000021,3401836439_1_115746,3401836439_28684_29628
BGC0000021,3401836439_1_115746,3401836439_30165_32282
BGC0000021,3401836439_1_115746,3401836439_32781_33794
BGC0000021,3401836439_1_115746,3401836439_35620_36162
BGC0000021,3401836439_1_115746,3401836439_36375_37568
BGC0000021,3401836439_1_115746,3401836439_43843_44973
BGC0000021,3401836439_1_115746,3401836439_110720_111472
BGC0000021,3401836439_1_115746,3401836439_112058_112417
BGC0000021,3401836439_1_115746,3401836439_112448_112843
BGC0000021,3401836439_1_115746,3401836439_112897_115746
BGC0000018,1193120758_244_42960,1193120758_42340_42960
BGC0001361,2622209323_1_1116,2622209323_1_1116
BGC0002283,2788343080_1_1155,2788343080_1_1155
BGC0001351,3933370077_1410_29083,3933370077_1410_2363
BGC0001351,3933370077_1410_29083,3933370077_2808_3824
BGC0001351,3933370077_1410_29083,3933370077_22984_23202
BGC0001351,3933370077_1410_29083,3933370077_23206_23694
BGC0001351,3933370077_1410_29083,3933370077_23736_24548
BGC0001351,3933370077_1410_29083,3933370077_24576_25865
BGC0001351,3933370077_1410_29083,3933370077_25874_27208
BGC0001358,2790808344_20959_30909,2790808344_22763_23119
BGC0001358,2790808344_20959_30909,2790808344_23151_24023
BGC0001358,2790808344_20959_30909,2790808344_27823_28065
BGC0001358,2790808344_20959_30909,2790808344_30268_30909
BGC0001369,4110970262_1343_17796,4110970262_1343_2242
BGC0001369,4110970262_1343_17796,4110970262_2185_2430
BGC0001369,4110970262_1343_17796,4110970262_2417_3763
BGC0001369,4110970262_1343_17796,4110970262_3760_5145
BGC0001369,4110970262_1343_17796,4110970262_5142_6515
BGC0001369,4110970262_1343_17796,4110970262_6512_7024
BGC0001369,4110970262_1343_17796,4110970262_7202_7630
BGC0001369,4110970262_1343_17796,4110970262_9323_9610
BGC0001369,4110970262_1343_17796,4110970262_9607_10116
BGC0001369,4110970262_1343_17796,4110970262_10113_11048
BGC0001369,4110970262_1343_17796,4110970262_13662_13991
BGC0001369,4110970262_1343_17796,4110970262_14164_14907
BGC0001369,4110970262_1343_17796,4110970262_14923_15993
BGC0001369,4110970262_1343_17796,4110970262_15990_16373
BGC0001369,4110970262_1343_17796,4110970262_16384_17796
BGC0001366,3851080185_681_15268,3851080185_681_2492
BGC0001366,3851080185_681_15268,3851080185_2568_3191
BGC0001366,3851080185_681_15268,3851080185_3374_4846
BGC0001366,3851080185_681_15268,3851080185_5011_5694
BGC0001366,3851080185_681_15268,3851080185_5743_6168
BGC0001366,3851080185_681_15268,3851080185_6165_7430
BGC0001366,3851080185_681_15268,3851080185_7427_8707
BGC0001366,3851080185_681_15268,3851080185_8725_8982
BGC0001366,3851080185_681_15268,3851080185_8991_9494
BGC0001366,3851080185_681_15268,3851080185_9541_9882
BGC0001366,3851080185_681_15268,3851080185_9901_11211
BGC0001366,3851080185_681_15268,3851080185_11019_11489
BGC0001366,3851080185_681_15268,3851080185_11554_12585
BGC0001366,3851080185_681_15268,3851080185_12582_14057
BGC0001366,3851080185_681_15268,3851080185_14222_15268
BGC0001512,1334586600_1850_16915,1334586600_1850_3325
BGC0001512,1334586600_1850_16915,1334586600_3476_4183
BGC0001512,1334586600_1850_16915,1334586600_4180_4581
BGC0001512,1334586600_1850_16915,1334586600_4578_5843
BGC0001512,1334586600_1850_16915,1334586600_5840_7093
BGC0001512,1334586600_1850_16915,1334586600_7130_7369
BGC0001512,1334586600_1850_16915,1334586600_7366_7857
BGC0001512,1334586600_1850_16915,1334586600_7854_8195
BGC0001512,1334586600_1850_16915,1334586600_8238_9515
BGC0001512,1334586600_1850_16915,1334586600_9515_10855
BGC0001512,1334586600_1850_16915,1334586600_10839_11537
BGC0001512,1334586600_1850_16915,1334586600_11612_12646
BGC0001512,1334586600_1850_16915,1334586600_12789_13517
BGC0001512,1334586600_1850_16915,1334586600_13588_15171
BGC0001512,1334586600_1850_16915,1334586600_15252_15824
BGC0001512,1334586600_1850_16915,1334586600_16166_16915
BGC0000031,511952166_5961_54466,511952166_5961_6467
BGC0000031,511952166_5961_54466,511952166_6564_7538
BGC0000031,511952166_5961_54466,511952166_7603_8397
BGC0000031,511952166_5961_54466,511952166_9993_11165
BGC0000031,511952166_5961_54466,511952166_11162_11980
BGC0000031,511952166_5961_54466,511952166_11992_13611
BGC0000031,511952166_5961_54466,511952166_13608_15635
BGC0000031,511952166_5961_54466,511952166_50829_52019
BGC0000031,511952166_5961_54466,511952166_52113_53477
BGC0000031,511952166_5961_54466,511952166_53486_54466
BGC0001533,1386957440_5951_54462,1386957440_5951_6457
BGC0001533,1386957440_5951_54462,1386957440_6554_7528
BGC0001533,1386957440_5951_54462,1386957440_7593_8387
BGC0001533,1386957440_5951_54462,1386957440_9983_11155
BGC0001533,1386957440_5951_54462,1386957440_11152_11970
BGC0001533,1386957440_5951_54462,1386957440_11982_13601
BGC0001533,1386957440_5951_54462,1386957440_13598_15625
BGC0001533,1386957440_5951_54462,1386957440_50825_52015
BGC0001533,1386957440_5951_54462,1386957440_52109_53473
BGC0001533,1386957440_5951_54462,1386957440_53482_54462
BGC0001370,331198606_4330_67612,331198606_4330_4545
BGC0001370,331198606_4330_67612,331198606_4676_5842
BGC0001370,331198606_4330_67612,331198606_6073_6504
BGC0001370,331198606_4330_67612,331198606_6577_7434
BGC0001370,331198606_4330_67612,331198606_7515_7970
BGC0001370,331198606_4330_67612,331198606_8152_8949
BGC0001370,331198606_4330_67612,331198606_8956_9909
BGC0001370,331198606_4330_67612,331198606_10046_11761
BGC0001370,331198606_4330_67612,331198606_11780_12448
BGC0001370,331198606_4330_67612,331198606_12463_13788
BGC0001370,331198606_4330_67612,331198606_13785_14984
BGC0001370,331198606_4330_67612,331198606_14981_16054
BGC0001370,331198606_4330_67612,331198606_56371_57189
BGC0001370,331198606_4330_67612,331198606_57201_58094
BGC0001370,331198606_4330_67612,331198606_58162_60012
BGC0001370,331198606_4330_67612,331198606_60052_61053
BGC0001370,331198606_4330_67612,331198606_61236_62039
BGC0001370,331198606_4330_67612,331198606_62093_63310
BGC0001370,331198606_4330_67612,331198606_63341_64327
BGC0001370,331198606_4330_67612,331198606_64324_66051
BGC0001370,331198606_4330_67612,331198606_67367_67612
BGC0001374,888661289_3758_5575,888661289_3758_5575
BGC0000033,1315140251_67788_90348,1315140251_67788_68981
BGC0000033,1315140251_67788_90348,1315140251_69032_70024
BGC0000033,1315140251_67788_90348,1315140251_70221_71351
BGC0000033,1315140251_67788_90348,1315140251_71386_72522
BGC0000033,1315140251_67788_90348,1315140251_72591_73799
BGC0000033,1315140251_67788_90348,1315140251_73840_75102
BGC0000033,1315140251_67788_90348,1315140251_75152_76186
BGC0000033,1315140251_67788_90348,1315140251_80077_81147
BGC0000033,1315140251_67788_90348,1315140251_81152_82102
BGC0000033,1315140251_67788_90348,1315140251_82105_82371
BGC0000033,1315140251_67788_90348,1315140251_82456_83886
BGC0000033,1315140251_67788_90348,1315140251_83883_85229
BGC0000033,1315140251_67788_90348,1315140251_85300_85872
BGC0000033,1315140251_67788_90348,1315140251_86118_86669
BGC0000033,1315140251_67788_90348,1315140251_86678_87271
BGC0000033,1315140251_67788_90348,1315140251_87351_88853
BGC0000033,1315140251_67788_90348,1315140251_89143_90348
BGC0001357,1066731356_1_26932,1066731356_1946_2257
BGC0001357,1066731356_1_26932,1066731356_2507_3922
BGC0001357,1066731356_1_26932,1066731356_8318_9559
BGC0001357,1066731356_1_26932,1066731356_9564_10823
BGC0001357,1066731356_1_26932,1066731356_10814_11590
BGC0001357,1066731356_1_26932,1066731356_17904_19025
BGC0001357,1066731356_1_26932,1066731356_19038_19637
BGC0001357,1066731356_1_26932,1066731356_20012_22075
BGC0001357,1066731356_1_26932,1066731356_22374_24119
BGC0001357,1066731356_1_26932,1066731356_25424_26932
BGC0001386,2801717763_1056_21956,2801717763_1056_1313
BGC0001386,2801717763_1056_21956,2801717763_1509_2633
BGC0001386,2801717763_1056_21956,2801717763_2630_3391
BGC0001386,2801717763_1056_21956,2801717763_3714_4478
BGC0001386,2801717763_1056_21956,2801717763_4643_5227
BGC0001386,2801717763_1056_21956,2801717763_5369_6328
BGC0001386,2801717763_1056_21956,2801717763_6424_7509
BGC0001386,2801717763_1056_21956,2801717763_7745_9313
BGC0001386,2801717763_1056_21956,2801717763_9515_10378
BGC0001386,2801717763_1056_21956,2801717763_10375_11172
BGC0001386,2801717763_1056_21956,2801717763_11159_11557
BGC0001386,2801717763_1056_21956,2801717763_11680_12993
BGC0001386,2801717763_1056_21956,2801717763_13270_14538
BGC0001386,2801717763_1056_21956,2801717763_14535_15782
BGC0001386,2801717763_1056_21956,2801717763_15775_16305
BGC0001386,2801717763_1056_21956,2801717763_16340_18256
BGC0001386,2801717763_1056_21956,2801717763_18342_19493
BGC0001386,2801717763_1056_21956,2801717763_19514_20590
BGC0001386,2801717763_1056_21956,2801717763_20587_21012
BGC0001386,2801717763_1056_21956,2801717763_21009_21956
BGC0001387,3042606503_151_29437,3042606503_151_1149
BGC0001387,3042606503_151_29437,3042606503_1152_2582
BGC0001387,3042606503_151_29437,3042606503_2579_3406
BGC0001387,3042606503_151_29437,3042606503_3410_4048
BGC0001387,3042606503_151_29437,3042606503_4408_7578
BGC0001387,3042606503_151_29437,3042606503_8598_9986
BGC0001387,3042606503_151_29437,3042606503_10254_10676
BGC0001387,3042606503_151_29437,3042606503_10774_12201
BGC0001387,3042606503_151_29437,3042606503_12203_13201
BGC0001387,3042606503_151_29437,3042606503_13365_14534
BGC0001387,3042606503_151_29437,3042606503_14653_15699
BGC0001387,3042606503_151_29437,3042606503_15733_17415
BGC0001387,3042606503_151_29437,3042606503_17412_18491
BGC0001387,3042606503_151_29437,3042606503_18754_19521
BGC0001387,3042606503_151_29437,3042606503_19531_20007
BGC0001387,3042606503_151_29437,3042606503_20000_21985
BGC0001387,3042606503_151_29437,3042606503_21982_23364
BGC0001387,3042606503_151_29437,3042606503_23376_23960
BGC0001387,3042606503_151_29437,3042606503_24029_24646
BGC0001387,3042606503_151_29437,3042606503_24839_25660
BGC0001387,3042606503_151_29437,3042606503_25730_28453
BGC0001387,3042606503_151_29437,3042606503_28520_29437
BGC0001393,4268089353_5584_28869,4268089353_12698_13072
BGC0001393,4268089353_5584_28869,4268089353_25745_26431
BGC0001393,4268089353_5584_28869,4268089353_28216_28869
BGC0001364,2618150869_12027_15629,2618150869_12027_15248
BGC0001364,2618150869_12027_15629,2618150869_15390_15629
BGC0000040,2367878703_4511_98438,2367878703_4511_5473
BGC0000040,2367878703_4511_98438,2367878703_77034_77906
BGC0000040,2367878703_4511_98438,2367878703_77912_78181
BGC0000040,2367878703_4511_98438,2367878703_78174_79289
BGC0000040,2367878703_4511_98438,2367878703_79286_80428
BGC0000040,2367878703_4511_98438,2367878703_80615_80959
BGC0000040,2367878703_4511_98438,2367878703_81943_82851
BGC0000040,2367878703_4511_98438,2367878703_83535_85547
BGC0000040,2367878703_4511_98438,2367878703_86031_86774
BGC0000040,2367878703_4511_98438,2367878703_86774_87823
BGC0000040,2367878703_4511_98438,2367878703_87823_89325
BGC0000040,2367878703_4511_98438,2367878703_89528_90781
BGC0000040,2367878703_4511_98438,2367878703_90973_91641
BGC0000040,2367878703_4511_98438,2367878703_91758_92081
BGC0000040,2367878703_4511_98438,2367878703_92102_92887
BGC0000040,2367878703_4511_98438,2367878703_93091_93915
BGC0000040,2367878703_4511_98438,2367878703_93912_94592
BGC0000040,2367878703_4511_98438,2367878703_94709_96814
BGC0000040,2367878703_4511_98438,2367878703_97026_98438
BGC0000976,1376163456_1426_65189,1376163456_53732_54496
BGC0000976,1376163456_1426_65189,1376163456_54753_56012
BGC0000976,1376163456_1426_65189,1376163456_56017_57243
BGC0000976,1376163456_1426_65189,1376163456_57295_57534
BGC0000976,1376163456_1426_65189,1376163456_65046_65189
BGC0001165,686726080_11137_74007,686726080_18091_18330
BGC0001165,686726080_11137_74007,686726080_18382_19608
BGC0001165,686726080_11137_74007,686726080_19613_20872
BGC0001165,686726080_11137_74007,686726080_21129_21893
BGC0000029,1383388277_6805_85059,1383388277_23864_24952
BGC0000029,1383388277_6805_85059,1383388277_27065_27628
BGC0000029,1383388277_6805_85059,1383388277_40097_41038
